Key	Wikidata ID	Description
Hollings, James Francis (historian)	Q87184241	James Francis Hollings
Holmes, Clive (historian)	Q87183718	Clive Holmes
Holmes, Jane (historian)		Jane Holmes. Thesis University of York (1989): Domestic service in Yorkshire 1650-1780.
Holmes, Martin Rivington (historian)	Q43966327	Martin Rivington Holmes. Museum curator, historian of London, and Shakespeare critic.
Holmes, Richard (historian)	Q3069612	Richard Holmes. Army officer and military historian.
Holstun, James (historian)	Q52987372	James Holstun
Homer, Ronald F (historian)	Q87185010	Ronald F. Homer. Wrote about pewterers
Hooker, Richard (theologian)	Q443783	Richard Hooker (1554-1600). Theologian.
Hopper, Andrew (historian)	Q60664225	Andrew James Hopper
Hoppitt, Rosemary (historian)	Q109908954	Rosemary Hoppitt.
Horne, D E A (historian)		D. E. A. Horne. Local historian of Staffordshire.
Hoskins, W G (historian)	Q8009794	William George Hoskins
Houlbrooke, Ralph A (historian)	Q44319442	Ralph A. Houlbrooke. Social historian associated with Reading University.
Houston, Chloe (literary scholar)	Q109908955	Chloe Ruth McNeill Houston.
Howard, Sharon (historian)	Q25931080	Sharon Howard. Digital historian and project manager.
Howard-Flanders, W (historian)	Q87185098	W. Howard-Flanders
Howell, Roger (historian)	Q7358360	Roger Howell
Howells, B E (historian)	Q87184245	Brian Elwyn Howells
Hoyle, Richard W (historian)	Q87185100	Richard W. Hoyle
Hribal, Jason (historian)	Q87185899	Jason Hribal
Hsu, Chao-Chi (historian)	Q109908956	Chao-Chi Hsu.
Hudleston, C Roy (historian)	Q47004316	Christophe Roy Hudleston
Hudson, Geoffrey L (historian)	Q87185900	Geoffrey Lewis Hudson
Hughes, Ann (historian)	Q52988770	Ann Laura Hughes
Hughes, Annabelle F (historian)	Q105395583	Annabelle F. Hughes. Thesis University of Sussex (1988): The evolution and ownership of timber-framed houses within the old parish and market catchment area of Horsham, circa 1300-1650.
Hughes, Edward (historian)	Q123668442	Edward Hughes. 1934 book on salt taxation.
Hughes, John H F (historian)	Q109908957	John H. F. Hughes.
Hughes, M Y (literary scholar)		M. Y. Hughes. Thesis University of Edinburgh (1951): Studies in Milton. Could be Merritt Yerkes Hughes (1893-1971) but award date seems too late.
Hughes, Pat (historian)	Q123668443	Patricia Marjorie Hughes, aka Pat Hughes. ''Midland History'' article on buildings in Worcester.
Hull, Felix (archivist)	Q87185102	Felix Hull
Hulse, Lynn Mary (historian)	Q109908958	Lynn Mary Hulse.
Humphery-Smith, Cecil R (historian)	Q5056141	Cecil R Humphery-Smith. Herald and genealogist.
Humphreys, Arthur Lee (historian)	Q59627596	Arthur Lee Humphreys
Hunt, Alice (historian)	Q87185901	Alice Hunt. Studies queens. Not Alice M. W. Hunt.
Hunt, Arnold (historian)	Q87185902	Arnold Hunt
Hunt, Ian D J (historian)	Q109908961	Ian D. J. Hunt.
Hunt, Margaret R (historian)	Q64706013	Margaret R. Hunt
Hunt, Tristram (historian)	Q691064	Tristram Hunt. Historian and former MP.
Hunt, William A (historian)	Q87185104	William A. Hunt
Hunter, Michael (historian)	Q6831294	Michael Hunter. Historian of culture, science and printed images.
Huq, Rukhsana (literary scholar)	Q109908962	Rukhsana Huq.
Hutchinson, Julius (historian)	Q87184247	Julius Hutchinson
Hutton, Ronald (historian)	Q3087695	Ronald Hutton
Ingram, Martin J (historian)	Q109908963	Martin J. Ingram.
Ingram, Reginald W (literary scholar)	Q109908964	Reginald William Ingram.
Irving, John (literary scholar)	Q106687045	John Irving.
Isemonger, Paul Lewis (historian)	Q87184249	Paul Lewis Isemonger
Israel, Richard (archaeologist)	Q95585448	Richard Paul Israel. Thesis on fortifications in Bristol, Gloucester, and Worcester.
Issa, Christine (historian)	Q109908965	Christine Issa.
Issa, Islam (literary scholar)	Q28402385	Islam Issa.
Ive, Jeremy (historian)	Q109908966	Jeremy George Augustus Ive.
Ives, Eric William (historian)	Q3056309	Eric William Ives
Jack, Sybil M (historian)	Q63676434	Sybil M. Jack
Jackson, Charles (historian)	Q15994536	Charles Jackson. Editor of Alice Thornton.
Jackson, Clare (historian)	Q87254202	Janet Clare Louise Jackson, usually known as Clare Jackson.
Jackson, L Charles (historian)	Q109908968	L. Charles Jackson.
Jackson-Holzberg, Christine (historian)	Q87183614	Christine Jackson-Holzberg
Jacob, Frank (historian)	Q17340793	Frank Jacob. Military historian.
Jacobs, Laura (literary scholar)	Q109908969	Laura Flavia Jacobs.
Jacobs, Mary (historian)	Q86982780	Emma Katherine Mary Jacobs
Jakka, Sarath Chandra (literary scholar)	Q109908970	Sarath Chandra Jakka.
James, G F (historian)		G. F. James. Contributor to Journal of the Society for Army Historical Research.
James, Linda (historian)	Q109908971	Linda James.
James, Mervyn Evans (historian)	Q87185905	Mervyn Evans James
Jansson Cole, Maija (historian)	Q87185106	Maija Jansson Cole
Jarrett, Bob (historian)	Q123668444	Bob Jarrett. Local historian of Leicestershire.
Jeaffreson, John Cordy (historian)	Q18084593	John Cordy Jeaffreson. Historian of Middlesex.
Jeffrey, J V (historian)		J. V. Jeffrey. Biographer of Charles Fleetwood.
Jeffs, Robin (historian)	Q87185109	Robin Jeffs
Jenkins, J P (historian)		J. P. Jenkins. Thesis University of Cambridge (1978): A Social and Political History of the Glamorgan Gentry c.1650-1770.
Jenkins, Tim (historian)	Q86982783	Tim Jenkins
Jenner, Mark S R (historian)	Q87185906	Mark Stephen Rowe Jenner
Jennings, Stuart B (historian)	Q87183721	The Reverend Stuart Brian Jennings
Jensen, Freyja Cox (historian)	Q57903224	Freyja Cox Jensen.
Jenstad, Janelle (literary scholar)	Q82734911	Janelle Jenstad
Jex-Blake, T W (historian)	Q7791323	Very Revd Thomas William Jex-Blake. Local historian of Somerset. Article on battle of Lansdown. Also clergyman and school headmaster.
Johns, Adrian (historian)	Q61639573	Adrian Dominic Sinclair Johns. History of the book, and London history.
Johnson, Anthony M (historian)		Anthony M. Johnson. Local historian of Cheshire and Buckinghamshire. Thesis from Oxford University, 1970s.
Johnson, Chris (historian)		Chris Johnson. Thesis about Coggeshall, Essex.
Johnson, David (historian)	Q86982785	David Johnson
Johnson, Douglas A (historian)	Q87184251	Douglas Anthony Johnson
Johnson, Michael G (historian)	Q87183917	Michael G. Johnson
Johnson, Patricia Ann (historian)	Q109908972	Patricia Ann Johnson.
Johnson, Rosalind N (historian)		Rosalind Noreen Johnson. Thesis University of Winchester (2013): Protestant dissenters in Hampshire, c1640-c1740.
Johnson, V S (historian)		V. S. Johnson. Wrote about Cromwell and the press, 1999.
Johnston, Arran P (historian)	Q87183919	Arran Paul Johnston
Johnston, J A (historian)	Q87184252	J. A. Johnston. Local historian studying Lincolnshire.
Johnstone, Hilda (historian)	Q28946311	Hilda Johnstone
Jones, Clyve (historian)	Q87185110	Clyve Jones
Jones, David Martin (historian)	Q87185908	David Martin Jones aka David Martin-Jones. Political scientist at KCL. Also studies terrorism and South-East Asia but not film studies..
Jones, Emrys (historian)	Q5374805	Emrys Jones. Historical geographer who has written on London and Wales.
Jones, Frank (historian)	Q63283474	Frank Jones. Co-authored ''A Military History of the English Civil War'' with Malcolm Wanklyn.
Jones, Isabel (historian)	Q109908973	Isabel Jones.
Jones, J D (historian)	Q109908974	J. D. Jones.
Jones, Jennifer (historian)		Jennifer Jones. York University (Toronto) thesis on civil war in the north of England.
Jones, John (archivist)		John Jones. Wrote guide to archives of Balliol College, Oxford, published 1984.
Jones, Lincoln Stanhope (historian)		Lincoln Stanhope Jones. Biographer of Thomas Rainsborough.
Jones, Madeline V (historian)	Q109805245	Madeline or Madeleine Veysey Jones. Thesis on parliamentary boroughs in Kent.
Jones, Norman L (historian)	Q112412511	Norman Leslie Jones. Local identities. May be another one or two authors with same name.
Jones, Paul (historian)	Q104521257	Paul Alastair Michael Jones. PhD from Keele on royalism and print culture.
Jones, Richard (landscape historian)	Q65096305	Richard Luther Caradoc Jones. Landscape historian at Leicester University. Mostly medieval but has written about civil war medicine.
Jones, Serena (historian)	Q87183920	Serena Jones
Jones, Whitney Richard David (historian)	Q87183922	Whitney Richard David Jones
Jordan, Gerald (historian)	Q87185910	Gerald Jordan
Jordan, Ruth Anne (historian)		Ruth Anne Jordan. Thesis University of Cambridge (2001): The Blackloists 1640-1688: ecclesiastical, theological and intellectual authority in English Catholic polemic.
Jordan, Sally Anne (historian)	Q86982787	Sally Anne Jordan
Jostin, C H (historian)		C. H. Jostin. Edited Elias Ashmole.
Jowitt, Claire (historian)	Q5125235	Claire Jowitt. Professor of literature and history.
Kahn, David (literary scholar)		David Kahn. Thesis University of Oxford (1995): Milton's monistic faith: tradition and translation in the minor poetry.
Kaiser, C R E (historian)	Q109908975	C. R. E. Kaiser.
Kane, Brendan (historian)	Q87067887	Brendan Michael Kane. Historian of early-modern Ireland.
Kaplan, Lawrance (historian)	Q87065555	Lawrance Kaplan (born 1934). Historian of history and politics in English Revolution. Not same as Lawrence S. Kaplan (born 1924) who studied NATO and US foreign policy.
Kassimeris, George (historian)	Q87185113	George Kassimeris
Kaufman, Helen Andrews (historian)	Q87184255	Helen Andrews Kaufman
Kawana, Yoh (historian)		Yoh Kawana. Thesis University of Leicester (1996): Social networks and urban space: the social organisation of a county town, Leicester c.1550-1640.
Kaye, Frederick Benjamin (historian)	Q41616563	Frederick Benjamin Kaye. Literary scholar and historian of newspapers.
Kean, Margaret (literary scholar)	Q109908976	Margaret Kean.
Kebbell, Peter (historian)	Q109908977	Peter Kebbell.
Keeble, N H (literary scholar)	Q87185912	Neil Howard Keeble
Keeler, Mary Frear (historian)	Q87183923	Mary Frear Keeler
Keen, Cheryl M (historian)	Q109908978	Cheryl Margaret Keen.
Kell, Patricia E (historian)		Patricia Ellen Kell. Thesis University of Oxford (1996): British collecting, 1656-1800: scientific enquiry and social practice.
Kellaway, William (historian)	Q87185114	William Kellaway
Kellett, John R (historian)	Q87184261	John R. Kellett
Kelly, Philippa (literary scholar)	Q87185914	Philippa Kelly
Kelly, Rosemary (historian)	Q87184263	Rosemary Kelly. Local historian studying Oxfordshire.
Kelly, Tony (historian)	Q87184265	Tony Kelly. Local historian studying Oxfordshire.
Kelly, William P (historian)	Q109908979	William Pius Kelly.
Kelsey, Sean (historian)	Q87185117	Sean Kelsey
Kemp, Simon (historian)	Q109908980	Simon Kemp.
Kendrick, Leslie (literary scholar)	Q109908981	Leslie C.  Kendrick. Law professor at University of Virginia. Former literary scholar with thesis on John Milton.
Kennedy, D E (historian)	Q123668446	Donald Edward Kennedy. Macmillan book on English Revolution, 2000. May also have thesis on navy.
Kennedy, Emma (historian)	Q86982789	Emma Kennedy
Kent, Joan R (historian)	Q87185915	Joan R. Kent
Kenyon, J P (historian)	Q6252792	John Philipps Kenyon
Kerry, Charles (historian)	Q41480997	Charles Kerry
Kesselring, Krista (historian)	Q87185916	Krista J. Kesselring. Legal historian.
Ketton-Cremer, R W (historian)	Q7274106	Robert Wyndham Ketton-Cremer. Historian of Norfolk.
Key, Newton (historian)	Q87185917	Newton Key
Kilburn-Toppin, Jasmine (historian)	Q57083276	Jasmine Kilburn-Toppin. PhD thesis on identities of London artisans.
Killick, H F (historian)	Q87183617	Henry Fison Killick
King, D W (historian)	Q123945448	Derrick William King (-1980). Librarian of War Office Library, National Army Museum committee member, and contributor to Journal of the Society for Army Historical Research.
King, John N (literary scholar)	Q87185921	John N. King
Kingsford, C L (historian)	Q5080216	Charles Lethbridge Kingsford. Editor of Stow’s survey of London.
Kingsley, Nicholas W (historian)	Q87185922	Nicholas W. Kingsley
Kingston, Alfred (historian)	Q87184267	Alfred Kingston
Kishlansky, Mark A (historian)	Q6768398	Mark A. Kishlansky
Kitching, Christopher (archivist)	Q56951913	Christopher John Kitching. Archivist at HMC and TNA.
Kitson, Frank (historian)	Q3082678	General Sir Frank Kitson
Kleimola, Ann M (historian)	Q87185923	Ann M. Kleimola. Historian of horses and Russia.
Klein, Bernhard (literary scholar)	Q86982791	Bernhard Klein. Literature and maps.
Klinck, Dennis R (historian)	Q87185924	Dennis R. Klinck
Klinge, Markus (literary scholar)	Q109908982	Markus Klinge.
Klotz, Edith L (historian)		Edith L. Klotz. EHR article on wealth of royalist peers.
Kmec, Sonja (historian)	Q13105075	Sonja Kmec
Knapp, James A (historian)	Q87185925	James A. Knapp
Knight, Marcus (historian)	Q109908983	Marcus Knight.
Knight, Paul A (historian)	Q86982793	Paul Adrian Knight. Local historian studying Macclesfield, Cheshire.
Knights, Mark (historian)	Q64682660	Mark Knights
Knoppers, Laura Lunger (historian)	Q64007149	Laura Lunger Knoppers
Knowlden, Patricia (historian)	Q123668447	Patricia Knowlden. Local historian of Kent, especially Bromley. Not clear if also wrote 'Gardeners and Guardians of the Earth'.
Konstam, Angus (historian)	Q544461	Angus Konstam
Korr, Charles P (historian)	Q55629078	Charles Paul Korr, aka Chuck. Book on Cromwell's foreign policy. Also sport historian.
Kramer, Leonie (literary scholar)	Q6526614	Leonie Judith Gibson Kramer.
Krueger, Christine L (literary scholar)	Q87185926	Christine L. Krueger
Ktorides, Subha (literary scholar)	Q109908984	Subha Ktorides.
Kuehnova, Sarka (literary scholar)	Q109908985	Sarka Kuehnova.
Kupfermann, Elias (historian)	Q87183924	Elias Kupfermann. Local historian studying Windsor, Berkshire.
Kyle, Chris R (historian)	Q87185122	Chris R. Kyle
La Noue, François de (soldier and author)	Q1451253	François de La Noue. Commander in French wars of religion in 16th century and author of military treatises.
Lake, Peter (historian)	Q52989753	Peter Lake
Lambert, Sheila (historian)	Q87185123	Sheila Lambert
Lander Johnson, Bonnie (literary scholar)	Q109908986	Bonnie Lander Johnson.
Lang, Robert Guy (historian)	Q87183621	Robert Guy Lang
Langdon, John (historian)	Q51645340	John Langdon
Langelüddecke, Henrik (historian)	Q84981246	Henrik Langelüddecke. Thesis and articles on local office holding and politics in reign of Charles I.
Langley, Chris R (historian)	Q87405219	Chris R. Langley. 17th-century Scotland.
Lansberry, Frederick (historian)	Q87185125	Frederick Lansberry
Lappin, James (archivist)		James Lappin. 1996 article about civil war records in TNA. Now PhD candidate at Loughborough and specialist in digital preservation.
Laqueur, Thomas (historian)	Q2425732	Thomas Laqueur. Historian and sexologist.
Large, P F W (historian)	Q109908987	P. F. W. Large.
Larminie, Vivienne (historian)	Q88646838	Vivienne M. Larminie. Historian of families.
Latimer, John (historian)	Q87184269	John Latimer
Laurence, Anne (historian)	Q87184513	Anne Laurence. Early-modern historian. Not Anne Lawrence the medievalist.
Lawrence, David R (historian)	Q87183925	David R. Lawrence
Lawson, Mike (historian)		Mike Lawson. Wrote ''For God and the North'' about civil war in northern England, 1984.
Lawson, Philip Hugh (historian)	Q87184515	Philip Hugh Lawson
Le Claire, Lesley (historian)		Lesley Le Claire. Wrote appreciation of Austin Woolrych.
Le Comte, Edward (historian)	Q52157336	Edward Le Comte. Literary critic and biographer of Frances Howard.
Le Hardy, William Henry Clement (archivist)	Q8014386	William Henry Clement Le Hardy
Le Neve, Peter (herald)	Q7175396	Peter Le Neve (1661-1729). Herald and antiquary.
Leach, Arthur Leonard (historian)	Q20732634	Arthur Leonard Leach. Historian of Wales.
Leachman, Caroline L (historian)	Q109908988	Caroline L. Leachman.
Leadbetter, Peter (historian)		Peter Leadbetter. Studying pre-civil war trained bands.
Leask, Paul (historian)	Q87183927	Paul Leask. Wrote about Sir Hugh Cholmley and Scarborough.
Lee, Ross (historian)	Q87184516	Ross Lee
Lee, Stephen Grosvenor (historian)		Stephen Grosvenor Lee. Biographer of James Berry.
Lees, Linda J (historian)	Q109908989	Linda Jane Lees.
Legon, Edward (historian)	Q86982798	Edward Legon
Lemire, Beverly (historian)	Q60949896	Beverly Lemire
Leng, Thomas L (historian)	Q87185352	Thomas L. Leng
Lenihan, Pádraig (historian)	Q87185929	Pádraig Lenihan
Leslie, J H (historian)	Q124336794	Major J. H. Leslie. Contributor to Journal of the Society for Army Historical Research. May also have been Scout leader and colliery manager in South Yorkshire.
Lester, Derek (historian)	Q87183928	Derek Lester
Lester, Gill (historian)		Gill Lester. Local historian and landscape archaeologist of Oxfordshire.
Levitin, Dmitri (historian)	Q114323306	Dmitri Levitin. History of philosophy.
Lewis, David E (historian)	Q86982801	David E. Lewis
Lewis, John (historian)		John Lewis. Edited ''May it Please Your Highness'', selection of Prince Rupert's letters.
Lewis, Thomas Taylor (historian)	Q18672597	Thomas Taylor Lewis. Edited Brilliana Harley's letters.
Leys, Mary (historian)	Q16005836	Mary Dorothy Rose Leys
Lim, Paul C H (historian)	Q53901122	Paul C. H. Lim
Lind, Andrew (historian)	Q109908990	Andrew Lind.
Lindberg, Kevin (historian)		Kevin Lindberg. 2007 article on 2nd and 3rd Earls of Essex.
Lindley, David (literary scholar)	Q87185355	David Lindley
Lindley, Keith (historian)	Q87184518	Keith Lindley
Lipscombe, Nick (historian)	Q66380909	Colonel Nick Lipscombe.
Lister, Thomas Henry (historian)	Q7790610	Thomas Henry Lister
Lithgow, William (historian)		William Lithgow. Contributor to Journal of the Society for Army Historical Research.
Little, Ann M (historian)	Q87185930	Ann M. Little. Gender historian studying early America.
Little, Patrick (historian)	Q87185356	Patrick Little
Llewellyn, Nigel G (historian)	Q109908991	Nigel Graham Llewellyn.
Lloyd, Joy (historian)	Q109908992	Joy Lloyd.
Lloyd, Paul S (historian)	Q109908993	Paul Steven Lloyd.
Lockyer, Roger (historian)	Q7358544	Roger Lockyer
Lodge, Eleanor Constance (historian)	Q5354251	Eleanor Constance Lodge. Historian of Kent.
Loewenstein, David (literary scholar)	Q87185933	David Loewenstein. Miltonist.
Loftis, John (historian)	Q55939798	John Loftis
Lomas, Sophia Crawford (historian)	Q63283404	Born Sophia Crawford Williamson. Married William Lomas and known professionally as S. C. Lomas. Historian and documentary editor.
Long, Charles Edward (historian)	Q5077284	Charles Edward Long
Longstaffe, William Hylton Dyer (historian)	Q84944211	William Hylton Dyer Longstaffe
Loughead, P (historian)	Q109908994	P. Loughead.
Louth, Warwick (archaeologist)	Q87183932	Warwick Louth
Louw, H J (historian)	Q109908995	H. J. Louw.
Loveman, Kate (literary scholar)	Q87185935	Kate Loveman aka Katherine Loveman
Lowe, J (historian)	Q109908996	J. Lowe.
Lowe, John (historian)		John Lowe. Local historian of Cheshire.
Loxley, James (literary scholar)	Q99583537	James William Stanislas Loxley.
Luu, Lien (historian)	Q87185359	Lien Bich Luu
Lynch, Helen (literary scholar)	Q109908997	Helen Lynch.
Lynch, John (historian)	Q87184520	John Lynch
Lyndon, B P (historian)		B. P. Lyndon. Contributor to Journal of the Society for Army Historical Research.
Lynn, John A (historian)	Q6217800	John A. Lynn. Military historian.
Mabbitt, John C (archaeologist)	Q64007836	John Charles Mabbitt.
MacAllan, Barbara (historian)	Q109908999	Barbara MacAllan.
MacCannell, Daniel (historian)	Q86982805	Daniel MacCannell
MacCarthy-Morrogh, Michael (historian)	Q109909000	Michael MacCarthy-Morrogh.
MacCormack, John R (historian)	Q87185360	John R. MacCormack
MacDonald, Alice Edith Middleton (historian)	Q87185362	Alice Edith Middleton MacDonald
MacFarlane, Alan (historian)	Q4707213	Alan MacFarlane. Historian and anthropologist.
MacGregor, Arthur (archaeologist)	Q38138973	Arthur MacGregor
MacInnes, Allan I (historian)	Q87185936	Allan Iain MacInnes
MacKenzie, Kirsteen M (historian)	Q87185365	Kirsteen M. MacKenzie
MacLachlan, Alastair J (historian)	Q87185937	Alastair J. MacLachlan
MacLachlan, Tony (historian)	Q87184524	Tony MacLachlan
MacLean, John A (historian)	Q109909001	John A. MacLean.
Macadam, Joyce (historian)	Q86982803	Angela Elizabeth Joyce Macadam
Macauley, John S (historian)	Q123668448	John S. Macauley.
Macfarlane, Stephen (historian)	Q123668449	Stephen Menzies Macfarlane. Poor relief.
Macray, William Dunn (historian)	Q8008135	William Dunn Macray
Maddicott, Hilary (historian)	Q109909003	Hilary Maddicott.
Maggs, Steve (historian)		Steve Maggs. Wargaming scenarios for English Civil War.
Magro, Maria (literary scholar)		Maria Magro. 2004 article on Anna Trapnel.
Mahlberg, Gaby (historian)	Q109909004	Gaby Maria Mahlberg.
Mahony, Michael P (historian)	Q109909005	Michael Patrick Mahony.
Major, Philip (historian)	Q55630052	Philip Stuart Major
Makey, Walter H (historian)	Q123668450	Walter H. Makey.
Malcolm, Elizabeth (historian)	Q13157293	Elizabeth Malcolm. Historian of Ireland.
Malcolm, Joyce Lee (historian)	Q23013732	Joyce Lee Malcolm
Malcolmson, Cristina (literary scholar)	Q87185938	Cristina Malcolmson
Malins, Miranda (historian)	Q106804780	Miranda Christabel Julia Malins. Historian, novelist, solicitor, trustee of Cromwell Association. Thesis on conservative Cromwellians and the restoration.
Maltzahn, Nicholas von (literary scholar)	Q88646839	Nicholas von Maltzahn. Miltonist.
Mandelbrote, Giles (historian)	Q87185939	Giles Mandelbrote
Mann, Bryan N (historian)	Q109909006	Bryan N. Mann.
Manning, Brian (historian)	Q4964600	Brian Manning
Manning, Roger B (historian)	Q87185366	Roger Burrow Manning
Manwaring, George Ernest (historian)	Q87185368	George Ernest Manwaring
Marchitello, Howard (literary scholar)	Q87185940	Howard Marchitello
Margey, Annaleigh (historian)	Q87185942	Annaleigh Margey
Marix Evans, Martin (archaeologist)	Q55945215	Martin Marix Evans
Markham, Simon (literary scholar)	Q109909008	Simon Markham.
Marks, Adam (historian)	Q87351977	Adam Marks. Thesis on the English in the Thirty Years War.
Marotti, Arthur F (historian)	Q12272393	Arthur F. Marotti
Marsh, Bethany (historian)	Q126376239	Bethany Marsh. Thesis on Irish protestant refugees.
Marsh, Simon (historian)	Q124331980	Simon Marsh. Research and Threats Coordinator of Battlefields Trust.
Marshall, Alan (historian)	Q87184526	John Alan Marshall
Marshall, Catherine A (historian)	Q109909009	Catherine Anne Marshall.
Marshall, Hilary (palaeographer)	Q87185943	Hilary Marshall. Palaeographer.
Marshall, Peter (historian)	Q55671589	Peter Marshall
Marshall, Rosalind K (historian)	Q59991517	Rosalind K. Marshall.
Martin, J M (historian)		J. M. Martin. ''Midland History'' article on Stratford.
Martin, Janet D (historian)	Q87184529	Janet D. Martin
Martyn, Charles (historian)		Charles Martyn. Wrote about swords. Probably not same person who wrote about Artemas Ward.
Maseres, Francis (historian)	Q3081588	Francis Maseres
Mason, John R (literary scholar)	Q109909010	John Robert Mason.
Massarella, Derek (historian)	Q93231744	Derek P. Massarella. PhD thesis on politics of the army.
Masson, David (historian)	Q5237204	David Masson
Matar, Nabil I (historian)	Q87185946	Nabil I. Matar
Matthews, Jemima B (historian)		Jemima Bridget Matthews. Thesis University of Nottingham (2015): Use and abuse of the Thames, 1550-1650.
Matthews, Stephen (historian)	Q60053725	Stephen Matthews. Local historian of Cheshire.
Matthews, William (literary scholar)	Q86982806	William Matthews (-1975). British diaries.
Maurice, Frederick Barton (historian)	Q1452944	Sir Frederick Barton Maurice, 1st Baronet. British Army general and military historian.
Mawdesley, James (historian)	Q86983028	James Mawdesley
Maybury, Teresa (historian)	Q109909011	Teresa Maybury.
Mayo, Charles Herbert (historian)	Q5079000	Charles Herbert Mayo. Historian of Dorset.
McArthur, Ellen A (historian)	Q5364936	Ellen Annette McArthur. Economic historian 1909 article on women petitioners as M'Arthur.
McBride, Paula (historian)		Paula McBride. 2019 article about witchcraft in ''Midland History''.
McCafferty, John D (historian)	Q109909012	John David McCafferty.
McCall, Fiona (historian)	Q123668451	Fiona Mary McCall, aka Fiona Youngman. ''Midland History'' article on Leicestershire clergy.
McCall, Timothy (historian)		Timothy Paul Joseph McCall. Thesis Queen's University Belfast (1983): The gaelic background to the settlement of Antrim and Down, 1580-1641.
McCarthy, Thomas (philosopher)	Q7786893	Thomas McCarthy. Philosophy academic who has written about Habermas.
McCaughey, R (historian)	Q109909013	R. McCaughey.
McClendon, Muriel C (historian)	Q87185947	Muriel C. McClendon
McClure, Iain (literary scholar)	Q109909014	Iain McClure.
McCullough, Peter (historian)	Q7173885	Peter Eugene McCullough
McCurdy, Henry J (historian)		Henry James McCurdy. Thesis University of Cambridge (2008): Social incidence and economic significance of the growth in transferable paper instruments in seventeenth century England.
McDonagh, Briony (geographer)	Q64592450	Briony McDonagh. Historical geographer
McEachern, Claire E (literary scholar)	Q87185949	Claire Elizabeth McEachern
McElligott, Jason (historian)	Q87185951	Jason McElligott aka Gerard Jason McElligott
McElroy, Katharine (historian)	Q123668452	Katharine McElroy.
McEvilla, Joshua (literary scholar)	Q109909015	Joshua McEvilla.
McGee, J Sears	Q92394495	James Sears McGee. Professor at University of California, Santa Barbara.
McGovern, Terrance (historian)	Q87183933	Terrance McGovern
McGrath, Patrick (historian)	Q123668453	Patrick McGrath. Local historian of Bristol.
McIntosh, Marjorie Keniston (historian)	Q44190135	Marjorie Keniston McIntosh. Social and local historian who wrote about Essex and Suffolk.
McIntyre, Neil (historian)	Q109909016	Neil McIntyre.
McKenna, John W (historian)	Q87185952	John W. McKenna
McKeown, Simon (historian)	Q86983029	Simon McKeown. Art historian and literary scholar teaching at Marlborough College. Has published on literature and emblems in Sweden.
McLaren, Dorothy M (historian)	Q109909017	Dorothy Mary McLaren.
McLeod, Wilson (historian)	Q20620831	Wilson McLeod.
McMullan, J L (historian)	Q109909018	J. L. McMullan.
McMurray, William (historian)		William McMurray. Historian of London parishes, active 1925.
McNally, Michael (historian)	Q18001513	Michael McNally
McNutt, Ryan K (historian)	Q109909019	Ryan Keefe McNutt.
McQuaid, John (historian)	Q124331805	John McQuaid. Edinburgh thesis 1949 on musicians and Scottish Reformation.
McRae, Alisdair (historian)	Q87183935	Alisdair McRae. Book about Fraser's dragoon regiment.
McShane, Angela (historian)	Q28420143	Angela McShane aka Angela McShane Jones
Meads, Christopher D (literary scholar)		Christopher Douglas Meads. Thesis University of Birmingham (1988): Banquet scenes in English drama, 1585-1642.
Mears, Natalie (historian)	Q88646841	Natalie Mears. Historian of Elizabethan politics.
Medlycott, Mervyn (historian)	Q87184531	Mervyn Medlycott
Meier, Hans (historian)	Q109909020	Hans Meier.
Meikle, H W (historian)	Q87183936	Henry William Meikle
Meikle, Maureen M (historian)	Q87185953	Maureen M. Meikle
Meldrum, Tim (historian)	Q87185955	Tim Meldrum
Mellersh, F G (historian)	Q123668454	F. G. Mellersh. Local historian of Surrey.
Melling, Elizabeth (historian)	Q87184540	Elizabeth Melling
Memegalos, Florene S (historian)	Q87184542	Florene S. Memegalos
Menarry, David J (historian)	Q109909022	David J. Menarry.
Mendelson, Sara (historian)	Q87185956	Sara H. Mendelson. Historian and literary scholar.
Mendle, Michael (historian)	Q87185378	Michael Mendle
Mendoza, Bernardino de (Spanish soldier and author)	Q723038	Bernardino de Mendoza. 16th-century Spanish military writer.
Merlo Perring, Stefania (historian)	Q115006628	Stefania Merlo Perring.
Merricks, Linda (historian)	Q109909023	Linda Merricks.
Merritt, Julia F (historian)	Q87185379	Julia F. Merritt
Merry, Mark (historian)	Q88646842	Mark Merry. Urban historian associated with Centre for Metropolitan History.
Michelli, Alison (historian)	Q87183938	Alison Michelli. Biographer of Peter Young.
Midgley, Henry C (historian)		Henry Charles Midgley. Thesis University of Cambridge (2008): The political thinking of the New Model Army 1647-54.
Millard, Annie Mary (historian)		Annie Mary Millard. 1956 PhD thesis on London import trade.
Miller, A C (historian)	Q87184544	Amos Calvin Miller
Miller, John (historian)	Q99335235	John Miller. Historian of 17th-century politics. Formerly seminar convenor at IHR.
Mills, Jane A (historian)		Jane A. Mills. Editor of Cromwelliana.
Mills, Robin (historian)	Q109909024	Robin Mills.
Milne, Graeme J (historian)	Q104582071	Graeme J. Milne.
Milner, A J (literary scholar)	Q4758036	A. J. Milner.
Milton, Anthony (historian)	Q87185957	Anthony Milton
Milward, Richard John (historian)	Q87184546	Richard John Milward
Minns, Chris (historian)	Q87183623	Chris Minns
Mitchell, Cliff (historian)		Cliff Mitchell. Pike and Shot society.
